order_id,seller_id,rating
1,1,5
2,1,5
3,1,5
4,1,5
5,1,5
6,1,5
7,1,5
8,1,5
9,1,5
10,1,5
11,1,5
12,1,5
13,1,5
14,1,5
15,1,5
16,1,5
17,1,5
18,1,5
19,1,5
20,1,5
21,1,5
22,1,5
23,1,5
24,1,5
25,1,5
26,1,5
27,1,5
28,1,5
29,1,5
30,1,5
31,1,5
32,1,5
33,1,5
34,1,5
35,1,5
36,1,2
37,1,2
38,1,1
39,1,2
40,1,2
41,1,4
42,1,3
43,1,4
44,1,3
45,1,3
46,1,4
47,1,3
48,1,3
49,1,3
50,1,4
51,2,5
52,2,5
53,2,5
54,2,5
55,2,5
56,2,5
57,2,5
58,2,5
59,2,5
60,2,5
61,2,5
62,2,5
63,2,2
64,2,1
65,2,2
66,2,1
67,2,1
68,2,1
69,2,1
70,2,1
71,2,1
72,2,2
73,2,1
74,2,2
75,2,2
76,2,1
77,2,1
78,2,1
79,2,4
80,2,3
81,2,4
82,2,4
83,2,4
84,2,3
85,2,4
86,2,4
87,2,3
88,2,3
89,2,4
90,2,4
91,3,5
92,3,5
93,3,5
94,3,5
95,3,5
96,3,5
97,3,5
98,3,5
99,3,5
100,3,5
101,3,5
102,3,5
103,3,5
104,3,5
105,3,5
106,3,5
107,3,5
108,3,1
109,3,2
110,3,2
111,3,1
112,3,1
113,3,2
114,3,1
115,3,4
116,3,3
117,3,3
118,3,4
119,3,4
120,3,3
121,3,4
122,3,4
123,3,3
124,3,4
125,3,3
