item_id,product_id,customer_id
1,201,1001
2,201,1002
3,201,1003
4,201,1004
5,201,1005
6,201,1006
7,201,1007
8,201,1008
9,201,1009
10,201,1010
11,201,1011
12,201,1012
13,201,1013
14,201,1014
15,201,1015
16,201,1016
17,201,1017
18,201,1018
19,201,1019
20,201,1020
21,201,1021
22,201,1022
23,201,1023
24,201,1024
25,201,1025
26,201,1026
27,201,1027
28,201,1028
29,201,1029
30,201,1030
31,201,1031
32,201,1032
33,201,1033
34,201,1034
35,201,1035
36,201,1036
37,201,1037
38,201,1038
39,201,1039
40,201,1040
41,201,1041
42,201,1042
43,201,1043
44,201,1044
45,201,1045
46,201,1046
47,201,1047
48,201,1048
49,201,1049
50,201,1050
51,201,1051
52,201,1052
53,201,1053
54,201,1054
55,201,1055
56,201,1056
57,201,1057
58,201,1058
59,201,1059
60,201,1060
61,201,1061
62,201,1062
63,201,1063
64,201,1064
65,201,1065
66,201,1066
67,201,1067
68,201,1068
69,201,1069
70,201,1070
71,201,1071
72,201,1072
73,201,1073
74,201,1074
75,201,1075
76,201,1076
77,201,1077
78,201,1078
79,201,1079
80,201,1080
81,201,1081
82,201,1082
83,201,1083
84,201,1084
85,201,1085
86,201,1086
87,201,1087
88,201,1088
89,201,1089
90,201,1090
91,201,1091
92,201,1092
93,201,1093
94,201,1094
95,201,1095
96,201,1096
97,201,1097
98,201,1098
99,201,1099
100,201,1100
101,201,1101
102,201,1102
103,201,1103
104,201,1104
105,201,1105
106,201,1106
107,201,1107
108,201,1108
109,201,1109
110,201,1110
111,201,1111
112,201,1112
113,201,1113
114,201,1114
115,201,1115
116,201,1116
117,201,1117
118,201,1118
119,201,1119
120,201,1120
121,202,1001
122,202,1002
123,202,1003
124,202,1004
125,202,1005
126,202,1006
127,202,1007
128,202,1008
129,202,1009
130,202,1010
131,202,1011
132,202,1012
133,202,1013
134,202,1014
135,202,1015
136,202,1016
137,202,1017
138,202,1018
139,202,1019
140,202,1020
141,202,1021
142,202,1022
143,202,1023
144,202,1024
145,202,1025
146,202,1026
147,202,1027
148,202,1028
149,202,1029
150,202,1030
151,202,1031
152,202,1032
153,202,1033
154,202,1034
155,202,1035
156,202,1036
157,202,1037
158,202,1038
159,202,1039
160,202,1040
161,203,1001
162,203,1002
163,203,1003
164,203,1004
165,203,1005
166,203,1006
167,203,1007
168,203,1008
169,203,1009
170,203,1010
171,203,1011
172,203,1012
173,203,1013
174,203,1014
175,203,1015
176,203,1016
177,203,1017
178,203,1018
179,203,1019
180,203,1020
181,203,1021
182,203,1022
183,203,1023
184,203,1024
185,203,1025
186,203,1026
187,203,1027
188,203,1028
189,203,1029
190,203,1030
191,203,1031
192,203,1032
193,203,1033
194,203,1034
195,203,1035
196,203,1036
197,203,1037
198,203,1038
199,203,1039
200,203,1040
201,203,1041
202,203,1042
203,203,1043
204,203,1044
205,203,1045
206,203,1046
207,203,1047
208,203,1048
209,203,1049
210,203,1050
211,203,1051
212,203,1052
213,203,1053
214,203,1054
215,203,1055
216,203,1056
217,203,1057
218,203,1058
219,203,1059
220,203,1060
221,203,1061
222,203,1062
223,203,1063
224,203,1064
225,203,1065
226,203,1066
227,203,1067
228,203,1068
229,203,1069
230,203,1070
231,203,1071
232,203,1072
233,203,1073
234,203,1074
235,203,1075
236,203,1076
237,203,1077
238,203,1078
239,203,1079
240,203,1080
241,203,1081
242,203,1082
243,203,1083
244,203,1084
245,203,1085
246,203,1086
247,203,1087
248,203,1088
249,203,1089
250,203,1090
251,203,1091
252,203,1092
253,203,1093
254,203,1094
255,203,1095
256,203,1096
257,203,1097
258,203,1098
259,203,1099
260,203,1100
261,203,1101
262,203,1102
263,203,1103
264,203,1104
265,203,1105
266,203,1106
267,203,1107
268,203,1108
269,203,1109
270,203,1110
271,203,1111
272,203,1112
273,203,1113
274,203,1114
275,203,1115
276,203,1116
277,203,1117
278,203,1118
279,203,1119
280,203,1120
281,203,1121
282,203,1122
283,203,1123
284,203,1124
285,203,1125
286,203,1126
287,203,1127
288,203,1128
289,203,1129
290,203,1130
291,203,1131
292,203,1132
293,203,1133
294,203,1134
295,203,1135
296,203,1136
297,203,1137
298,203,1138
299,203,1139
300,203,1140
301,203,1141
302,203,1142
303,203,1143
304,203,1144
305,203,1145
306,203,1146
307,203,1147
308,203,1148
309,203,1149
310,203,1150
