trip_id,driver_id,rating
1,1,3.1
2,1,3.5
3,1,3.7
4,1,3.1
5,1,3.9
6,1,3.2
7,1,3.7
8,1,3.2
9,1,3.7
10,1,4.0
11,1,3.4
12,1,3.4
13,1,3.4
14,1,3.1
15,1,3.4
16,1,3.3
17,1,3.5
18,1,3.7
19,1,3.4
20,1,3.5
21,1,3.3
22,1,4.0
23,1,3.1
24,1,3.9
25,1,3.2
26,1,3.9
27,1,3.1
28,1,3.3
29,1,3.9
30,1,3.2
31,1,3.8
32,1,3.8
33,1,3.8
34,1,3.7
35,1,3.9
36,1,3.4
37,1,3.5
38,1,3.5
39,1,3.5
40,1,3.3
41,1,3.3
42,1,3.8
43,1,3.2
44,1,3.9
45,1,3.3
46,1,3.0
47,1,3.1
48,1,3.3
49,1,3.6
50,1,3.2
51,1,3.3
52,1,3.1
53,1,3.0
54,1,4.0
55,1,3.4
56,1,3.9
57,1,3.6
58,1,3.0
59,1,3.7
60,1,3.9
61,1,4.0
62,1,3.3
63,1,3.2
64,1,3.9
65,1,3.6
66,1,3.5
67,1,3.2
68,1,3.4
69,1,3.7
70,1,3.3
71,1,3.8
72,1,4.0
73,1,3.0
74,1,3.0
75,1,3.5
76,1,4.0
77,1,3.5
78,1,3.2
79,1,3.4
80,1,3.7
81,1,3.7
82,1,3.7
83,1,3.5
84,1,3.9
85,1,4.0
86,1,3.3
87,1,3.2
88,1,3.2
89,1,3.2
90,1,3.9
91,1,3.7
92,1,3.1
93,1,4.0
94,1,4.0
95,1,3.8
96,1,3.0
97,1,3.6
98,1,3.9
99,1,3.4
100,1,3.1
101,1,3.7
102,1,3.4
103,1,3.5
104,1,4.0
105,1,3.6
106,1,3.7
107,1,3.0
108,1,3.2
109,1,3.3
110,1,3.0
111,1,3.4
112,1,3.3
113,1,4.0
114,1,3.3
115,1,3.0
116,1,3.9
117,1,3.2
118,1,3.2
119,1,3.3
120,1,3.1
121,2,4.3
122,2,4.7
123,2,4.2
124,2,4.8
125,2,4.1
126,2,4.8
127,2,4.1
128,2,4.6
129,3,4.5
130,3,4.4
131,3,4.6
132,3,4.3
133,3,4.9
134,3,4.8
135,3,4.3
136,3,4.8
137,3,4.7
138,3,4.6
139,3,4.7
140,3,4.7
141,3,4.5
142,3,4.4
143,3,4.6
144,3,4.3
145,3,4.8
146,3,4.7
147,3,4.6
148,3,4.5
149,3,4.7
150,3,4.6
151,3,4.8
152,3,4.7
153,3,4.6
154,3,4.8
155,3,4.2
156,3,4.7
157,3,4.8
158,3,4.7
159,3,4.9
160,3,4.7
161,3,4.3
162,3,4.2
163,3,4.6
164,3,4.9
165,3,4.5
166,3,4.5
167,3,4.2
168,3,4.2
169,3,4.6
170,3,4.4
171,3,4.4
172,3,4.5
173,3,4.2
174,4,4.4
175,4,4.4
176,4,3.6
177,4,4.0
178,4,4.2
179,5,4.5
180,5,4.7
181,5,4.8
182,5,4.3
183,5,4.7
184,5,4.3
185,5,4.6
186,5,4.5
187,5,4.8
188,5,4.2
189,5,4.8
190,5,4.3
191,5,4.1
192,5,4.6
193,5,4.3
194,5,4.6
195,5,4.4
196,5,4.6
197,5,4.7
198,5,4.6
199,5,4.2
200,5,4.5
201,5,4.5
202,5,4.9
203,5,4.2
204,5,4.3
205,5,4.5
206,5,4.7
207,5,4.3
208,5,4.5
209,5,4.7
210,5,4.9
211,5,4.5
212,5,4.3
213,5,4.2
214,5,4.5
215,5,4.3
216,5,4.2
217,5,4.5
218,5,4.9
219,5,4.9
220,5,4.4
221,5,4.8
222,5,4.8
223,5,4.2
224,5,4.2
225,5,4.7
226,5,4.3
227,5,4.4
228,5,4.6
229,5,4.6
230,5,4.3
231,5,4.2
232,5,4.4
233,5,4.5
234,5,4.8
235,5,4.4
236,5,4.2
237,5,4.9
238,5,4.6
239,5,4.4
240,5,4.7
241,5,4.4
242,5,4.4
243,5,4.2
244,5,4.4
245,5,4.4
246,5,4.4
247,5,4.4
248,5,4.9
249,5,4.3
250,5,4.1
251,5,4.7
252,5,4.3
253,5,4.2
254,5,4.4
255,5,4.8
256,5,4.2
257,5,4.8
258,5,4.7
259,5,4.8
260,5,4.3
261,5,4.1
262,5,4.6
263,5,4.6
264,5,4.2
265,5,4.9
266,5,4.4
267,5,4.4
268,5,4.7
269,5,4.7
270,5,4.4
271,5,4.1
272,5,4.7
273,5,4.4
274,5,4.8
275,5,4.5
276,5,4.3
277,5,4.2
278,5,4.8
279,5,4.4
280,5,4.6
281,5,4.2
282,5,4.8
283,5,4.5
284,5,4.8
285,5,4.5
286,5,4.2
287,5,4.4
288,5,4.3
289,5,4.3
290,5,4.7
291,5,4.6
292,5,4.4
293,5,4.3
294,5,4.5
295,5,4.6
296,5,4.2
297,5,4.6
298,5,4.2
299,5,4.5
300,5,4.7
301,5,4.5
302,5,4.5
303,5,4.4
304,5,4.7
305,5,4.4
306,5,4.5
307,5,4.3
308,5,4.2
309,5,4.5
310,5,4.4
311,5,4.4
312,5,4.7
313,5,4.3
314,5,4.1
315,5,4.8
316,5,4.4
317,5,4.7
318,5,4.3
319,5,4.3
320,5,4.7
321,5,4.5
322,5,4.6
323,5,4.4
324,5,4.6
325,5,4.5
326,5,4.7
327,5,4.8
328,5,4.2
