order_id,customer_id,product_id,order_date,total_amount
1,1,100,2026-03-01,9276
2,1,101,2026-03-05,8121
3,1,102,2026-03-09,10526
4,1,103,2026-03-13,11507
5,1,104,2026-03-17,9280
6,1,105,2026-03-21,10402
7,1,106,2026-03-25,9939
8,1,107,2026-03-29,10116
9,1,108,2026-04-02,8890
10,1,109,2026-04-06,8236
11,1,110,2026-04-10,7679
12,1,111,2026-04-14,8443
13,2,200,2026-03-01,809
14,2,201,2026-03-04,975
15,2,202,2026-03-07,1848
16,2,203,2026-03-10,977
17,2,204,2026-03-13,524
18,2,205,2026-03-16,1493
19,2,206,2026-03-19,1706
20,2,207,2026-03-22,873
21,2,208,2026-03-25,1038
22,2,209,2026-03-28,1077
23,2,210,2026-03-31,508
24,3,300,2026-03-01,1596
25,3,301,2026-03-06,2716
26,3,302,2026-03-11,3189
27,3,303,2026-03-16,2512
28,4,807,2026-03-17,3819
29,4,732,2026-05-05,2982
30,4,857,2026-05-26,521
31,4,898,2026-04-28,3882
32,4,672,2026-05-27,1907
33,4,508,2026-04-20,1914
34,5,749,2026-05-01,1940
35,5,295,2026-03-08,575
36,6,266,2026-04-26,750
37,6,715,2026-04-13,515
38,6,100,2026-03-14,2621
39,6,649,2026-03-20,715
40,7,126,2026-05-18,588
41,7,728,2026-03-27,1841
42,7,749,2026-03-20,1333
43,7,716,2026-04-14,1791
44,7,225,2026-04-30,772
45,7,577,2026-05-02,2267
46,8,187,2026-04-09,890
47,8,867,2026-03-14,1703
48,8,590,2026-04-03,3694
49,8,265,2026-05-28,2414
50,8,310,2026-03-03,2463
51,8,250,2026-04-16,3126
52,8,127,2026-05-09,3405
53,8,405,2026-05-07,2933
54,9,367,2026-05-29,2423
55,9,271,2026-04-16,1756
56,10,654,2026-05-08,3491
57,10,437,2026-05-04,2906
58,10,727,2026-03-29,3623
59,10,345,2026-03-25,3651
60,11,304,2026-03-30,2420
61,11,464,2026-05-03,3294
62,11,128,2026-03-04,3536
63,11,583,2026-04-05,1361
64,11,809,2026-03-25,2778
65,11,557,2026-04-14,3611
66,11,473,2026-04-14,629
67,12,332,2026-03-14,2225
68,12,445,2026-03-26,1137
69,12,739,2026-05-01,3987
70,12,101,2026-05-18,2263
71,13,186,2026-05-22,3718
72,13,222,2026-05-24,1891
73,13,589,2026-03-26,3941
74,13,544,2026-03-23,3532
75,13,440,2026-05-21,655
76,13,574,2026-04-20,1944
77,14,274,2026-03-21,820
78,14,254,2026-03-04,2719
79,15,249,2026-05-23,2805
80,15,585,2026-05-16,2992
81,15,259,2026-04-14,2547
82,15,234,2026-05-10,387
83,15,843,2026-03-02,2961
84,15,639,2026-03-14,3369
85,15,544,2026-03-18,3870
86,15,316,2026-03-25,414
87,16,399,2026-03-28,2352
88,16,882,2026-03-31,2702
89,16,365,2026-04-11,2529
90,16,234,2026-04-23,549
91,16,569,2026-04-15,3013
92,17,613,2026-04-23,835
93,17,255,2026-05-08,2444
94,17,119,2026-05-05,3875
95,17,895,2026-04-26,1050
96,17,104,2026-05-17,3478
97,17,276,2026-03-20,879
98,17,733,2026-04-30,3270
99,17,669,2026-03-16,552
100,17,798,2026-04-11,2423
101,18,594,2026-05-11,3512
102,18,673,2026-03-14,532
103,18,295,2026-04-01,1434
104,18,890,2026-03-06,700
105,18,563,2026-05-04,2600
106,18,878,2026-03-04,3961
107,18,553,2026-03-09,1633
108,18,617,2026-05-18,2782
109,18,304,2026-05-05,3137
110,19,620,2026-04-27,2484
111,19,619,2026-05-01,1314
112,19,635,2026-05-29,3890
113,19,672,2026-04-03,3956
114,19,558,2026-03-26,861
115,20,501,2026-03-16,2110
116,20,174,2026-04-10,3049
117,20,538,2026-03-31,599
118,20,785,2026-03-28,1540
119,20,895,2026-03-16,932
120,20,776,2026-05-22,1799
121,20,359,2026-03-19,3916
122,5,555,2026-04-10,1200
123,5,555,2026-04-10,1250
